SCF SCFKIN SCFPOT
-3856.327851338 3422.003182433 -7278.331033771
-3856.32794053 3421.99546677 -7278.3234073
-3856.327945899 3421.994733685 -7278.322679584
-3856.327978435 3421.990453956 -7278.31843239
-3856.327995 3421.990843758 -7278.318838758
-3856.328018455 3421.989461082 -7278.317479537
-3856.328029416 3421.989949776 -7278.317979191
-3856.328051543 3421.99027847 -7278.318330013
-3856.328096903 3421.989502532 -7278.317599434
-3856.328119475 3421.988574379 -7278.316693854
-3856.328164408 3421.986661381 -7278.314825789
-3856.328244302 3421.981819186 -7278.310063487
-3856.328320181 3421.975882386 -7278.304202568
-3856.328350825 3421.975255719 -7278.303606545
-3856.3283812 3421.978221219 -7278.306602419
-3856.328442087 3421.97613554 -7278.304577627
-3856.328456417 3421.978505445 -7278.306961861
-3856.328541976 3421.987933341 -7278.316475317
-3856.328556753 3421.989706437 -7278.31826319
-3856.328574752 3421.992150912 -7278.320725663
-3856.32859948 3421.993663326 -7278.322262806
-3856.32860993 3421.994296197 -7278.322906127
-3856.328687925 3422.001124437 -7278.329812362
-3856.328713737 3422.000007882 -7278.328721619
-3856.328732583 3421.995775148 -7278.32450773
-3856.328767283 3421.996649558 -7278.325416841
-3856.328810915 3421.996327907 -7278.325138822
-3856.328839495 3421.995681767 -7278.324521262
-3856.328910368 3421.994958918 -7278.323869286
-3856.328963585 3421.994106815 -7278.3230704
-3856.328964204 3421.994912856 -7278.32387706
-3856.329006234 3421.994250609 -7278.323256843
-3856.329016848 3421.994203221 -7278.323220069
-3856.329038176 3421.989229935 -7278.318268111
-3856.329046607 3421.986981466 -7278.316028073
-3856.329069189 3421.979752977 -7278.308822167
-3856.329077006 3421.979820547 -7278.308897554
-3856.329097994 3421.979985844 -7278.309083838
-3856.329105247 3421.982825916 -7278.311931164
-3856.329143466 3421.989598047 -7278.318741513
-3856.329149936 3421.991563927 -7278.320713862
-3856.329182201 3421.990109995 -7278.319292195
-3856.329189806 3421.989204418 -7278.318394223
-3856.329228537 3421.978830485 -7278.308059022
-3856.329229806 3421.982667044 -7278.31189685
-3856.329250535 3421.981426202 -7278.310676737
-3856.329257673 3421.9848753 -7278.314132973
-3856.329265987 3421.98665645 -7278.315922436
-3856.329273649 3421.988094362 -7278.317368012
-3856.329289737 3421.990282596 -7278.319572332
-3856.329305675 3421.99189196 -7278.321197635
-3856.329313129 3421.991288493 -7278.320601622
-3856.329338497 3421.988340857 -7278.317679354
-3856.329362117 3421.986067468 -7278.315429585
-3856.329368674 3421.985460664 -7278.314829338
-3856.329344543 3421.971043956 -7278.300388499
-3856.329410383 3421.986511859 -7278.315922242
-3856.329436931 3421.982970949 -7278.31240788
-3856.329448773 3421.986901514 -7278.316350287
-3856.329458356 3421.990075237 -7278.319533592
-3856.329472115 3421.990525782 -7278.319997896
-3856.329479299 3421.990565529 -7278.320044828
-3856.329554762 3421.991107205 -7278.320661967
-3856.329530691 3421.991216565 -7278.320747256
-3856.329570766 3421.990753098 -7278.320323864
-3856.329578083 3421.991290368 -7278.320868452
-3856.329588798 3421.991407387 -7278.320996186
-3856.329595507 3421.991704399 -7278.321299906
-3856.329603314 3421.991336751 -7278.320940065
-3856.329610183 3421.990978022 -7278.320588205
-3856.329627349 3421.984163314 -7278.313790663
-3856.329636716 3421.989456365 -7278.319093082
-3856.329663132 3421.988462981 -7278.318126112
-3856.329670552 3421.988148023 -7278.317818574
-3856.329693206 3421.988141419 -7278.317834625
-3856.329701134 3421.988305295 -7278.31800643
-3856.329709471 3421.988114621 -7278.317824091
-3856.329721535 3421.988189177 -7278.317910711
-3856.32980546 3421.98837339 -7278.31817885
-3856.329778501 3421.989987921 -7278.319766422
-3856.329819426 3421.9910169 -7278.320836327
-3856.329828095 3421.990323163 -7278.320151257
-3856.329843909 3421.990171272 -7278.320015181
-3856.329852134 3421.990383009 -7278.320235142
-3856.329861025 3421.990542846 -7278.320403871
-3856.329868723 3421.990790465 -7278.320659188
-3856.329860771 3421.99915232 -7278.329013091
-3856.329904101 3421.99595313 -7278.325857231
-3856.329926693 3421.997750295 -7278.327676989
-3856.329934634 3421.996824832 -7278.326759466
-3856.329944248 3421.996499916 -7278.326444164
-3856.329954777 3421.997025907 -7278.326980684
-3856.329963465 3421.997564206 -7278.327527671
-3856.329982176 3421.998984889 -7278.328967064
-3856.330007018 3422.000309042 -7278.330316059
-3856.330024691 3422.001098255 -7278.331122946
-3856.330060354 3422.000605966 -7278.330666319
-3856.330096409 3422.000089786 -7278.330186195
-3856.330100306 3421.998410587 -7278.328510893
-3856.330113501 3421.995995411 -7278.326108912
-3856.33012638 3421.996024714 -7278.326151095
-3856.330146972 3421.99421601 -7278.324362982
-3856.330181155 3421.992259865 -7278.32244102
-3856.330235122 3421.99039398 -7278.320629102
-3856.330318464 3421.986644442 -7278.316962906
-3856.330391709 3421.983717508 -7278.314109217
-3856.3304341 3421.985613358 -7278.316047457
-3856.330497481 3421.992771169 -7278.323268649
-3856.330586192 3421.993056291 -7278.323642483
-3856.330670295 3421.991604837 -7278.322275132
-3856.330752185 3421.989066944 -7278.319819128
-3856.330837378 3421.985910349 -7278.316747727
-3856.330927977 3421.98233093 -7278.313258907
-3856.331022864 3421.978279893 -7278.309302757
-3856.331121752 3421.973960112 -7278.305081864
-3856.331224019 3421.969326722 -7278.300550741
-3856.331329999 3421.964503125 -7278.295833123
-3856.33144008 3421.959533543 -7278.290973623
-3856.331553478 3421.954392066 -7278.285945544
-3856.331669079 3421.949226102 -7278.28089518
-3856.331788354 3421.944570507 -7278.276358861
-3856.331913245 3421.940675865 -7278.272589109
-3856.332042282 3421.93721352 -7278.269255802
-3856.332175633 3421.934565067 -7278.266740699
-3856.332313602 3421.933241144 -7278.265554746
-3856.33245887 3421.935026623 -7278.267485493
-3856.332615507 3421.943730203 -7278.27634571
-3856.332691074 3421.959151992 -7278.291843066
-3856.332811656 3421.953492241 -7278.286303897
-3856.332969246 3421.959252793 -7278.292222039
-3856.333082002 3421.965657911 -7278.298739912
-3856.333153983 3421.98189223 -7278.315046214
-3856.333212094 3421.992615712 -7278.325827806
-3856.333260743 3422.002332802 -7278.335593545
-3856.333321184 3422.006754202 -7278.340075386
-3856.333375536 3422.002962243 -7278.336337779
-3856.333444988 3421.99536873 -7278.328813718
-3856.333516007 3421.98997841 -7278.323494417
-3856.333579401 3421.988760408 -7278.322339809
-3856.333651912 3421.996068753 -7278.329720666
-3856.333727303 3422.005764713 -7278.339492016
-3856.333811916 3422.012134421 -7278.345946337
-3856.333944826 3422.011275805 -7278.34522063
-3856.334068286 3422.004441643 -7278.338509929
-3856.334164417 3421.995956781 -7278.330121198
-3856.334139298 3421.995058322 -7278.32919762
-3856.334290228 3421.984702644 -7278.318992872
-3856.334318965 3421.986560063 -7278.320879027
-3856.334391996 3421.99536152 -7278.329753517
-3856.334480277 3422.000450336 -7278.334930613
-3856.334601782 3422.003816715 -7278.338418497
-3856.334715221 3422.002367999 -7278.337083219
-3856.334913595 3421.993358526 -7278.328272121
-3856.335051119 3421.983977216 -7278.319028334
-3856.335081534 3421.988474042 -7278.323555576
-3856.33521465 3421.983893123 -7278.319107773
-3856.335242232 3421.996817942 -7278.332060174
-3856.335387907 3421.994385445 -7278.329773351
-3856.335396337 3422.001421475 -7278.336817813
-3856.335526565 3422.001329772 -7278.336856337
-3856.335543977 3422.002124829 -7278.337668806
-3856.335640231 3422.000799755 -7278.336439986
-3856.335651681 3422.001906419 -7278.3375581
-3856.335708775 3421.994089425 -7278.3297982
-3856.335725133 3421.989369886 -7278.32509502
-3856.335753745 3421.983905859 -7278.319659604
-3856.335783382 3421.983675772 -7278.319459155
-3856.335797623 3421.981403521 -7278.317201144
-3856.335812967 3421.980363562 -7278.316176529
-3856.335844761 3421.977767059 -7278.31361182
-3856.335859244 3421.977862901 -7278.313722145
-3856.335883465 3421.976603417 -7278.312486882
-3856.335896833 3421.977989846 -7278.313886679
-3856.335919971 3421.978461966 -7278.314381937
