SCF SCFKIN SCFPOT
-3856.334792714 3421.917942633 -7278.252735347
-3856.334910077 3421.916636247 -7278.251546324
-3856.335005237 3421.918843205 -7278.253848443
-3856.335066995 3421.921973602 -7278.257040598
-3856.335137741 3421.929290391 -7278.264428132
-3856.335225931 3421.933338838 -7278.268564769
-3856.33528576 3421.939521249 -7278.274807009
-3856.33531499 3421.935880158 -7278.271195148
-3856.335339126 3421.933315389 -7278.268654515
-3856.33536398 3421.930144932 -7278.265508912
-3856.335386827 3421.930600073 -7278.2659869
-3856.335428963 3421.931391327 -7278.26682029
-3856.335449819 3421.934152551 -7278.269602371
-3856.335472269 3421.936890888 -7278.272363157
-3856.335505179 3421.940333721 -7278.275838901
-3856.335541154 3421.941867002 -7278.277408156
-3856.335595501 3421.939077674 -7278.274673175
-3856.335626904 3421.935186633 -7278.270813538
-3856.335625306 3421.934183 -7278.269808306
-3856.335647413 3421.932737761 -7278.268385174
-3856.335661352 3421.933690353 -7278.269351705
-3856.335679039 3421.935698604 -7278.271377643
-3856.335696136 3421.938334946 -7278.274031081
-3856.335711627 3421.941083782 -7278.276795408
-3856.335731548 3421.943198695 -7278.278930243
-3856.335752571 3421.945071181 -7278.280823752
-3856.335760508 3421.94436979 -7278.280130298
-3856.335796285 3421.943722638 -7278.279518923
-3856.335808312 3421.943045773 -7278.278854086
-3856.335813054 3421.942383283 -7278.278196337
-3856.335834342 3421.941244099 -7278.277078441
-3856.335841564 3421.941767083 -7278.277608647
-3856.335857825 3421.942092599 -7278.277950424
-3856.335874471 3421.94198307 -7278.277857542
-3856.335896681 3421.942331923 -7278.278228604
-3856.335924062 3421.941510275 -7278.277434337
-3856.335944784 3421.94160791 -7278.277552694
-3856.335957238 3421.941691786 -7278.277649024
-3856.335956545 3421.943572998 -7278.279529543
-3856.335976009 3421.944353699 -7278.280329708
-3856.335982497 3421.942451745 -7278.278434242
-3856.335990143 3421.943647105 -7278.279637249
-3856.336001455 3421.945024803 -7278.281026258
-3856.336008718 3421.945007543 -7278.28101626
