SCF SCFKIN SCFPOT
-3856.336048042 3421.941063478 -7278.27711152
-3856.336048034 3421.943621943 -7278.279669976
-3856.336062685 3421.943615468 -7278.279678153
-3856.336071197 3421.944637465 -7278.280708663
-3856.336079301 3421.94458808 -7278.28066738
-3856.336086872 3421.945075834 -7278.281162706
-3856.336108652 3421.945344064 -7278.281452715
-3856.336124785 3421.945448356 -7278.281573141
-3856.336156744 3421.945543763 -7278.281700507
-3856.336285683 3421.941156085 -7278.277441768
-3856.336257794 3421.94452164 -7278.280779434
-3856.336289538 3421.943391826 -7278.279681363
-3856.336293944 3421.944231961 -7278.280525905
-3856.336298564 3421.945431136 -7278.2817297
-3856.336306572 3421.946706148 -7278.28301272
-3856.336313267 3421.947138482 -7278.28345175
-3856.336320138 3421.947281362 -7278.2836015
-3856.33632778 3421.948092003 -7278.284419783
-3856.336334813 3421.94909184 -7278.285426653
-3856.33634736 3421.951890197 -7278.288237557
-3856.336353705 3421.953006925 -7278.28936063
-3856.33636985 3421.957171127 -7278.293540977
-3856.336375914 3421.957443588 -7278.293819502
-3856.336417039 3421.962046357 -7278.298463395
-3856.336417914 3421.961822772 -7278.298240686
-3856.336439964 3421.965281729 -7278.301721693
-3856.336448047 3421.963836373 -7278.30028442
-3856.336454502 3421.96402622 -7278.300480722
-3856.336469948 3421.965921251 -7278.302391198
-3856.336476087 3421.963824642 -7278.300300729
-3856.33648408 3421.963084469 -7278.299568549
-3856.336492439 3421.962405027 -7278.298897465
-3856.336498142 3421.962121511 -7278.298619653
-3856.336501588 3421.958537065 -7278.295038654
-3856.336508788 3421.958901356 -7278.295410144
-3856.33651386 3421.959034929 -7278.295548789
-3856.336518587 3421.959037364 -7278.295555951
-3856.336608309 3421.950004517 -7278.286612826
-3856.336593855 3421.953611283 -7278.290205137
-3856.336633657 3421.952861841 -7278.289495497
-3856.336639695 3421.954617646 -7278.29125734
-3856.336649258 3421.955242827 -7278.291892084
-3856.336658696 3421.955240405 -7278.2918991
-3856.336666935 3421.955378871 -7278.292045807
-3856.336684484 3421.955308996 -7278.29199348
-3856.336692354 3421.955495113 -7278.292187468
-3856.336705141 3421.955857944 -7278.292563085
-3856.336722057 3421.95628576 -7278.293007817
-3856.334360532 3421.97116373 -7278.305524263
-3856.33680943 3421.959073089 -7278.295882519
-3856.33693554 3421.955033832 -7278.291969372
-3856.336935887 3421.958301116 -7278.295237003
-3856.336972887 3421.961789523 -7278.298762409
-3856.336991524 3421.959357317 -7278.29634884
-3856.336999412 3421.958784276 -7278.295783688
-3856.337007962 3421.958587839 -7278.295595801
-3856.337020131 3421.957609208 -7278.294629339
-3856.337037478 3421.955804903 -7278.292842381
-3856.337045504 3421.954899956 -7278.29194546
-3856.33716715 3421.937618708 -7278.274785858
-3856.337137771 3421.945348952 -7278.282486723
-3856.337192184 3421.941497009 -7278.278689193
-3856.33720061 3421.942536229 -7278.279736839
-3856.337216013 3421.945109514 -7278.282325527
-3856.337224803 3421.94674818 -7278.283972983
-3856.337237107 3421.948434112 -7278.285671219
-3856.337249798 3421.949671726 -7278.286921524
-3856.337257815 3421.949667657 -7278.286925472
-3856.33735133 3421.94996378 -7278.28731511
-3856.337320799 3421.951224703 -7278.288545503
-3856.337383736 3421.95461797 -7278.292001706
-3856.337393166 3421.955282307 -7278.292675473
-3856.337406409 3421.956542471 -7278.29394888
-3856.337414296 3421.956098121 -7278.293512416
-3856.337430927 3421.955288326 -7278.292719254
-3856.337458545 3421.954529727 -7278.291988272
-3856.337485308 3421.954029983 -7278.29151529
-3856.337552618 3421.951988995 -7278.289541613
-3856.337573318 3421.951993479 -7278.289566797
-3856.337679446 3421.948887969 -7278.286567415
-3856.337629746 3421.951745073 -7278.289374819
-3856.33770674 3421.950833414 -7278.288540154
-3856.337716178 3421.951145579 -7278.288861757
-3856.337741628 3421.950365153 -7278.288106781
-3856.337749337 3421.949780196 -7278.287529533
-3856.337756772 3421.948953921 -7278.286710693
-3856.33563714 3421.88863968 -7278.22427682
-3856.337848596 3421.909289682 -7278.247138278
-3856.337906661 3421.927950855 -7278.265857516
-3856.337933352 3421.923593592 -7278.261526943
-3856.337940469 3421.927759609 -7278.265700079
-3856.337963229 3421.933687033 -7278.271650262
-3856.337972387 3421.933622364 -7278.271594751
-3856.337989618 3421.934241912 -7278.27223153
-3856.338017853 3421.936229808 -7278.274247661
-3856.33803002 3421.937128469 -7278.275158489
-3856.338045909 3421.938353639 -7278.276399547
-3856.338099321 3421.944552555 -7278.282651876
-3856.33811293 3421.943541421 -7278.281654351
-3856.338173455 3421.944819392 -7278.282992847
-3856.338199976 3421.94374992 -7278.281949896
-3856.338270952 3421.94498873 -7278.283259682
-3856.338281118 3421.944569324 -7278.282850442
-3856.33828917 3421.944116994 -7278.282406164
-3856.33829717 3421.943615971 -7278.281913141
-3856.338309003 3421.942738966 -7278.281047969
-3856.33606595 3421.928545171 -7278.264611121
-3856.338355298 3421.937921158 -7278.276276456
-3856.338416947 3421.926879499 -7278.265296447
-3856.338429721 3421.929324989 -7278.26775471
-3856.338480097 3421.92702081 -7278.265500907
-3856.3385407 3421.923500473 -7278.262041173
-3856.338604992 3421.920384474 -7278.258989465
-3856.338715851 3421.915930978 -7278.25464683
-3856.338794511 3421.91173737 -7278.25053188
-3856.338869427 3421.906886549 -7278.245755976
-3856.339017127 3421.900789118 -7278.239806245
-3856.3321867 3421.973101917 -7278.305288616
-3856.333990033 3421.95271749 -7278.286707523
-3856.334418362 3421.958114827 -7278.292533189
-3856.338282226 3421.932079279 -7278.270361506
